
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
42:BD:EB:F2:BF:C4, 2022-03-10 10:25:55, 2022-03-10 10:25:55,  1,  -1, OPN, ,   ,  -1,        0,        6,   0.  0.  0.  0,   0, , 
2E:16:08:E7:14:E3, 2022-03-10 10:25:08, 2022-03-10 10:25:08, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9C:1C:12:CC:1F:20, 2022-03-10 10:23:08, 2022-03-10 10:24:08,  6,  -1, OPN, ,   ,  -1,        0,        5,  10.  1.  4.182,   0, , 
C4:A8:1D:93:79:18, 2022-03-10 10:22:18, 2022-03-10 10:22:20, 10,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9C:1C:12:CD:68:A0, 2022-03-10 10:21:55, 2022-03-10 10:21:55,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C6:5F:75:F1:C9:35, 2022-03-10 10:20:06, 2022-03-10 10:20:06,  7,  65, WPA2, CCMP, PSK, -72,        0,        0,   0.  0.  0.  0,   4, Y20A, 
7A:D5:6F:C8:F3:D8, 2022-03-10 10:18:29, 2022-03-10 10:18:32,  5, 180, WPA2, CCMP, PSK, -63,        7,        0,   0.  0.  0.  0,   3, Dev, 
9C:1C:12:CC:39:90, 2022-03-10 10:17:45, 2022-03-10 10:17:45, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9C:1C:12:CD:5F:80, 2022-03-10 10:15:31, 2022-03-10 10:15:31,  4,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9C:1C:12:CC:23:60, 2022-03-10 10:15:44, 2022-03-10 10:15:47,  9,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
C2:FE:5B:DF:23:19, 2022-03-10 10:14:51, 2022-03-10 10:16:37, 13, 180, WPA2, CCMP, PSK, -70,       43,        0,   0.  0.  0.  0,   8, OPPO A1k, 
EA:04:1A:B8:46:47, 2022-03-10 10:15:46, 2022-03-10 10:18:02,  6,  65, WPA2, CCMP, PSK, -63,       35,        0,   0.  0.  0.  0,  14, Galaxy M31E055, 
9C:1C:12:CD:69:40, 2022-03-10 10:17:15, 2022-03-10 10:18:15, 11,  -1, OPN, ,   ,  -1,        0,       34,  10.  1.  4. 74,   0, , 
6A:8B:CD:AE:7E:0D, 2022-03-10 10:19:59, 2022-03-10 10:19:59,  4,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
9C:1C:12:CD:59:A0, 2022-03-10 10:19:29, 2022-03-10 10:20:34, 11,  -1, OPN, ,   , -75,        0,        4,   0.  0.  0.  0,   0, , 
00:18:4D:7A:D3:10, 2022-03-10 10:15:24, 2022-03-10 10:24:23,  6,  54, OPN, ,   , -75,        4,       57,   0.  0.  0.  0,   8, KLE_Tech, 
9C:1C:12:CC:1F:C0, 2022-03-10 10:14:40, 2022-03-10 10:26:00,  1, 195, OPN, ,   , -76,        3,       17,  10.  1.  4. 74,   8, KLE_Tech, 
00:FB:BA:C5:46:03, 2022-03-10 10:26:37, 2022-03-10 10:26:37, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9C:1C:12:CD:4F:20, 2022-03-10 10:16:35, 2022-03-10 10:27:57,  1, 195, OPN, ,   , -80,        1,     2026,  10.  1.  1.156,   8, KLE_Tech, 
6A:EF:B0:60:01:DD, 2022-03-10 10:19:12, 2022-03-10 10:27:53, 11, 360, WPA2, CCMP, PSK, -72,       22,       12,   0.  0.  0.  0,   4, POCO, 
1C:3B:F3:84:E5:A6, 2022-03-10 10:13:42, 2022-03-10 10:27:57,  3, 270, WPA2, CCMP, PSK, -52,     1551,       46,   0.  0.  0.  0,  14, IQL-SW-RL-1000, 
EC:AD:E0:76:19:A0, 2022-03-10 10:13:54, 2022-03-10 10:27:49, 11, 195, OPN, ,   , -69,      277,      637,  10.  2.  3.150,   7, SAMSUNG, 
88:DC:96:3B:43:1B, 2022-03-10 10:13:42, 2022-03-10 10:27:51,  1, 130, OPN, ,   , -68,       21,       71,  10.  1.  4. 48,   8, KLE_Tech, 
9C:1C:12:CC:39:00, 2022-03-10 10:13:45, 2022-03-10 10:27:50, 11, 195, OPN, ,   , -68,      153,     1923,  10.  1.  5. 25,   8, KLE_Tech, 
D8:32:E3:C4:4B:54, 2022-03-10 10:23:36, 2022-03-10 10:27:34, 11,  65, WPA2, CCMP, PSK, -68,       18,        0,   0.  0.  0.  0,   7, snehaaa, 
9C:1C:12:CC:40:20, 2022-03-10 10:13:42, 2022-03-10 10:27:51,  1, 195, OPN, ,   , -67,       12,       39,  10.  1.  2. 36,   8, KLE_Tech, 
9A:6B:FD:2D:47:EC, 2022-03-10 10:27:07, 2022-03-10 10:27:54,  1, 360, WPA2, CCMP, PSK, -66,        9,        6,   0.  0.  0.  0,  17, net khali ayt🤣, 
9C:1C:12:CC:38:80, 2022-03-10 10:13:42, 2022-03-10 10:27:52,  1, 195, OPN, ,   , -67,      138,     1041,  10.  1.  5. 37,   8, KLE_Tech, 
96:14:7A:7E:3B:A8, 2022-03-10 10:25:13, 2022-03-10 10:27:57,  2,  65, WPA2, CCMP, PSK, -65,       14,       17,   0.  0.  0.  0,   9, vivo 1713, 
D2:65:69:6F:46:21, 2022-03-10 10:25:28, 2022-03-10 10:27:55,  1, 360, WPA2, CCMP, PSK, -66,       31,        1,   0.  0.  0.  0,   6, Ganesh, 
9C:1C:12:CD:60:E0, 2022-03-10 10:13:43, 2022-03-10 10:27:53,  6, 195, OPN, ,   , -63,      157,       69,  10.  1.  1.  8,   8, KLE_Tech, 
F0:C7:7F:15:55:DF, 2022-03-10 10:25:19, 2022-03-10 10:27:56,  6,  54, OPN, ,   , -64,       87,        0,   0.  0.  0.  0,  19, mysimplelink-1555DF, 
F0:C7:7F:18:FA:6A, 2022-03-10 10:20:01, 2022-03-10 10:27:56,  6,  54, OPN, ,   , -64,      532,        8,  10.123. 45.  2,  19, mysimplelink-18FA6A, 
42:E9:A0:8A:D9:30, 2022-03-10 10:26:22, 2022-03-10 10:27:50, 11, 360, WPA2, CCMP, PSK, -62,       54,      121,   0.  0.  0.  0,  10, OnePlus 6t, 
BA:C5:46:03:74:6B, 2022-03-10 10:18:45, 2022-03-10 10:27:56,  6,  65, WPA2, CCMP, PSK, -64,      518,      138,   0.  0.  0.  0,   5, INDIA, 
D6:1E:D3:68:E7:C8, 2022-03-10 10:14:40, 2022-03-10 10:27:57,  2, 180, WPA2, CCMP, PSK, -60,      320,       56,   0.  0.  0.  0,   3, MSA, 
1C:3B:F3:84:DC:B7, 2022-03-10 10:13:42, 2022-03-10 10:27:57,  3, 270, WPA2, CCMP, PSK, -55,      989,        0,   0.  0.  0.  0,   0, , 
F0:C7:7F:18:7D:5B, 2022-03-10 10:21:51, 2022-03-10 10:27:56,  6,  54, OPN, ,   , -61,      507,        0,   0.  0.  0.  0,  19, mysimplelink-187D5B, 
9C:1C:12:CC:39:80, 2022-03-10 10:13:42, 2022-03-10 10:27:54, 11, 195, OPN, ,   , -53,     1581,    19525,  10.  1.  5. 25,   8, KLE_Tech, 
D2:4E:2B:4F:AC:52, 2022-03-10 10:13:42, 2022-03-10 10:27:57,  1, 180, WPA2, CCMP, PSK, -30,     1385,     3389,   0.  0.  0.  0,   9, KLE_Tech , 
4A:BD:3E:2D:57:4B, 2022-03-10 10:20:04, 2022-03-10 10:27:56,  6, 180, WPA2, CCMP, PSK, -22,     1460,      170,   0.  0.  0.  0,  16, Redmi Note 7 Pro, 
16:0F:14:C9:D3:A2, 2022-03-10 10:13:49, 2022-03-10 10:27:44,  9,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DC:F5:05:D7:FF:EB, 2022-03-10 10:14:03, 2022-03-10 10:18:50, -69,        4, 9C:1C:12:CC:38:80,KLE_Tech
EA:43:41:75:8A:CE, 2022-03-10 10:18:26, 2022-03-10 10:18:26, -49,        3, (not associated) ,
4A:C1:54:8E:CC:42, 2022-03-10 10:18:29, 2022-03-10 10:18:29, -59,        4, (not associated) ,
8A:BB:25:E5:D4:F4, 2022-03-10 10:18:27, 2022-03-10 10:18:27, -63,        1, (not associated) ,
D2:16:29:18:C8:C5, 2022-03-10 10:18:26, 2022-03-10 10:18:26, -69,        2, (not associated) ,
DA:A1:19:12:15:81, 2022-03-10 10:18:15, 2022-03-10 10:18:15, -69,        2, (not associated) ,
E2:78:44:A6:75:E0, 2022-03-10 10:18:01, 2022-03-10 10:18:01,  -1,        3, 9C:1C:12:CC:39:80,
AE:AE:FC:AE:C5:B0, 2022-03-10 10:18:04, 2022-03-10 10:18:04, -37,        4, (not associated) ,
3A:26:C3:B3:69:C7, 2022-03-10 10:18:05, 2022-03-10 10:18:05, -51,        4, (not associated) ,
DA:A1:19:E7:E7:07, 2022-03-10 10:18:03, 2022-03-10 10:18:03, -65,        6, (not associated) ,
D2:C1:47:2F:23:10, 2022-03-10 10:18:04, 2022-03-10 10:18:04, -69,        1, (not associated) ,
DA:A1:19:A4:F1:A7, 2022-03-10 10:18:04, 2022-03-10 10:18:04, -77,        1, (not associated) ,
AE:16:95:FC:FF:6A, 2022-03-10 10:17:28, 2022-03-10 10:17:29, -63,        7, (not associated) ,
12:8A:A2:DA:8B:7B, 2022-03-10 10:17:28, 2022-03-10 10:17:29, -63,        3, (not associated) ,
92:9E:F0:79:91:93, 2022-03-10 10:17:26, 2022-03-10 10:17:26, -67,        6, (not associated) ,
72:D1:7A:E5:CC:8E, 2022-03-10 10:17:12, 2022-03-10 10:17:12, -55,        8, (not associated) ,LakshGowdru
8A:3B:68:D9:BE:42, 2022-03-10 10:17:14, 2022-03-10 10:17:14, -65,        3, (not associated) ,
56:6B:75:FA:1E:21, 2022-03-10 10:16:59, 2022-03-10 10:17:00, -23,       20, (not associated) ,
A2:16:BD:15:C1:1D, 2022-03-10 10:17:03, 2022-03-10 10:17:03, -45,        1, (not associated) ,
B2:0E:3B:64:3E:3E, 2022-03-10 10:17:01, 2022-03-10 10:17:01, -45,        6, (not associated) ,
5E:7B:4D:29:07:79, 2022-03-10 10:13:45, 2022-03-10 10:17:01, -69,       30, 9C:1C:12:CC:39:00,Rahul_jio4g
12:6E:51:E2:78:C3, 2022-03-10 10:16:49, 2022-03-10 10:16:49, -43,        1, (not associated) ,ujwala
7E:2B:1E:EC:18:AA, 2022-03-10 10:16:49, 2022-03-10 10:16:49, -45,        2, (not associated) ,
CA:AA:20:77:5A:D0, 2022-03-10 10:16:49, 2022-03-10 10:16:49, -45,        2, (not associated) ,ujwala
D6:FF:6E:F9:37:A5, 2022-03-10 10:16:49, 2022-03-10 10:16:49, -45,        1, (not associated) ,
56:13:5F:D2:55:DA, 2022-03-10 10:16:53, 2022-03-10 10:16:53, -51,        6, (not associated) ,
DE:B1:9A:39:89:8D, 2022-03-10 10:16:48, 2022-03-10 10:16:49, -55,        2, (not associated) ,
62:EA:D9:33:CD:45, 2022-03-10 10:16:48, 2022-03-10 10:16:49, -55,        2, (not associated) ,ujwala
CE:BF:7C:F8:F0:5C, 2022-03-10 10:16:48, 2022-03-10 10:16:48, -57,        2, (not associated) ,ujwala
66:34:A8:00:F2:8C, 2022-03-10 10:16:48, 2022-03-10 10:16:48, -59,        2, (not associated) ,
8E:B4:E9:CE:09:EB, 2022-03-10 10:16:48, 2022-03-10 10:16:48, -61,        2, (not associated) ,
92:D4:6E:41:CA:68, 2022-03-10 10:16:48, 2022-03-10 10:16:48, -61,        1, (not associated) ,
CE:58:41:E7:FF:F2, 2022-03-10 10:16:50, 2022-03-10 10:16:50, -63,        2, (not associated) ,
C6:6A:22:1B:15:46, 2022-03-10 10:16:50, 2022-03-10 10:16:51, -69,        3, (not associated) ,LakshGowdru
A6:42:64:49:A1:C5, 2022-03-10 10:16:48, 2022-03-10 10:16:48, -71,        1, (not associated) ,
26:26:AC:C3:DE:05, 2022-03-10 10:16:37, 2022-03-10 10:16:37, -55,        1, (not associated) ,
72:16:48:2A:67:0D, 2022-03-10 10:16:40, 2022-03-10 10:16:40, -61,        4, (not associated) ,
32:13:54:70:F0:31, 2022-03-10 10:16:37, 2022-03-10 10:16:37, -61,        2, (not associated) ,
A4:4B:D5:40:E7:20, 2022-03-10 10:14:37, 2022-03-10 10:16:37, -77,        7, EC:AD:E0:76:19:A0,
66:D1:19:2C:10:71, 2022-03-10 10:16:29, 2022-03-10 10:16:29, -73,        1, (not associated) ,
1E:90:7A:04:40:DD, 2022-03-10 10:16:17, 2022-03-10 10:16:17, -29,        1, (not associated) ,
92:44:5A:5E:7F:32, 2022-03-10 10:16:16, 2022-03-10 10:16:16, -37,        8, (not associated) ,
60:8E:08:21:E4:B7, 2022-03-10 10:16:17, 2022-03-10 10:16:17, -71,        4, (not associated) ,
DA:A1:19:0D:86:76, 2022-03-10 10:16:03, 2022-03-10 10:16:04, -61,        9, (not associated) ,
02:77:88:6C:C0:47, 2022-03-10 10:16:03, 2022-03-10 10:16:03, -65,        1, (not associated) ,
E6:EF:85:04:F4:7F, 2022-03-10 10:15:52, 2022-03-10 10:15:53, -61,        4, (not associated) ,
7A:5C:46:66:E6:78, 2022-03-10 10:15:51, 2022-03-10 10:15:51, -71,        2, (not associated) ,AndroidShare_8162
EA:9F:FA:FF:BE:86, 2022-03-10 10:15:38, 2022-03-10 10:15:38, -31,        5, (not associated) ,
1E:A3:4D:A4:05:E1, 2022-03-10 10:15:37, 2022-03-10 10:15:37, -31,        1, (not associated) ,
06:AF:11:56:14:94, 2022-03-10 10:15:37, 2022-03-10 10:15:37, -33,        3, (not associated) ,
FE:39:EF:53:E6:A0, 2022-03-10 10:15:38, 2022-03-10 10:15:38, -59,       12, (not associated) ,AndroidShare_8162,AndroidShare_2376
0E:3B:45:B0:E0:F0, 2022-03-10 10:15:38, 2022-03-10 10:15:38, -67,        1, (not associated) ,
C2:23:09:01:DC:06, 2022-03-10 10:14:22, 2022-03-10 10:15:40, -69,       13, 9C:1C:12:CC:39:80,KLE_Tech
1A:DD:F6:AD:0B:04, 2022-03-10 10:15:27, 2022-03-10 10:15:27, -59,        1, (not associated) ,
F6:A9:06:03:16:CE, 2022-03-10 10:15:24, 2022-03-10 10:15:24, -61,        1, (not associated) ,
DA:A1:19:3C:B1:D2, 2022-03-10 10:15:26, 2022-03-10 10:15:26, -63,        3, (not associated) ,KLE_Tech
C6:57:07:5A:9E:12, 2022-03-10 10:15:12, 2022-03-10 10:15:12, -51,        3, (not associated) ,
DA:A1:19:83:45:F5, 2022-03-10 10:15:16, 2022-03-10 10:15:16, -67,        1, (not associated) ,KLE_Tech
8E:95:EC:8E:EB:CD, 2022-03-10 10:15:04, 2022-03-10 10:15:04, -37,        5, (not associated) ,
D2:29:AF:08:91:D2, 2022-03-10 10:15:01, 2022-03-10 10:15:01, -47,        4, (not associated) ,
64:A2:F9:8F:46:15, 2022-03-10 10:14:40, 2022-03-10 10:14:40,  -1,        2, 88:DC:96:3B:43:1B,
DA:A1:19:F0:04:12, 2022-03-10 10:14:40, 2022-03-10 10:14:40, -63,        1, (not associated) ,
3A:04:60:54:87:9E, 2022-03-10 10:14:36, 2022-03-10 10:14:37, -63,        3, (not associated) ,
DA:A1:19:33:59:C2, 2022-03-10 10:14:38, 2022-03-10 10:14:38, -67,        1, (not associated) ,
DA:A1:19:8F:72:05, 2022-03-10 10:14:36, 2022-03-10 10:14:36, -69,        6, (not associated) ,
62:E9:04:2C:94:C3, 2022-03-10 10:14:14, 2022-03-10 10:14:14, -29,        2, (not associated) ,
04:6C:59:1D:3F:F8, 2022-03-10 10:14:14, 2022-03-10 10:14:14, -67,        1, (not associated) ,
DA:A1:19:F2:06:A8, 2022-03-10 10:14:13, 2022-03-10 10:14:13, -67,        7, (not associated) ,KLE_Tech
1E:0C:F0:E0:C5:6F, 2022-03-10 10:14:13, 2022-03-10 10:14:13, -73,        2, (not associated) ,
B6:D0:D6:D6:AF:27, 2022-03-10 10:14:04, 2022-03-10 10:14:05, -35,        9, (not associated) ,
4A:B2:05:7D:BA:7A, 2022-03-10 10:14:02, 2022-03-10 10:14:02, -47,        5, (not associated) ,
8E:4E:AB:44:F3:82, 2022-03-10 10:14:00, 2022-03-10 10:14:00, -51,        5, (not associated) ,
6A:1C:EF:42:A9:67, 2022-03-10 10:14:05, 2022-03-10 10:14:05, -69,        2, (not associated) ,
DE:75:CF:2C:B3:5A, 2022-03-10 10:14:00, 2022-03-10 10:14:00, -73,        1, (not associated) ,
3A:26:2F:F3:7B:1D, 2022-03-10 10:13:52, 2022-03-10 10:13:52, -67,        2, (not associated) ,
DA:A1:19:0A:A9:D7, 2022-03-10 10:13:42, 2022-03-10 10:13:42, -65,        1, (not associated) ,
4A:35:62:F6:E0:E0, 2022-03-10 10:13:43, 2022-03-10 10:13:43, -65,        4, (not associated) ,
00:0C:E7:25:8A:25, 2022-03-10 10:13:44, 2022-03-10 10:13:44, -45,        8, (not associated) ,
2E:2A:4B:32:5A:55, 2022-03-10 10:13:42, 2022-03-10 10:13:43,  -1,        3, 88:DC:96:3B:43:1B,
42:A9:19:5C:73:C5, 2022-03-10 10:13:55, 2022-03-10 10:13:55, -67,        3, (not associated) ,
02:0D:FA:11:1F:48, 2022-03-10 10:13:55, 2022-03-10 10:13:56, -63,        2, (not associated) ,
7E:BF:E4:57:E8:37, 2022-03-10 10:13:54, 2022-03-10 10:13:55, -61,        9, (not associated) ,
B6:BE:68:71:12:12, 2022-03-10 10:13:55, 2022-03-10 10:13:55, -55,        6, (not associated) ,
5C:BA:EF:78:A9:69, 2022-03-10 10:13:57, 2022-03-10 10:13:57,  -1,        1, 88:DC:96:3B:43:1B,
E8:2A:44:DE:95:AB, 2022-03-10 10:13:57, 2022-03-10 10:13:57,  -1,        1, 88:DC:96:3B:43:1B,
6A:7A:5C:E3:76:3E, 2022-03-10 10:14:07, 2022-03-10 10:14:07, -73,        1, (not associated) ,
92:75:DA:1A:85:9B, 2022-03-10 10:14:08, 2022-03-10 10:14:08, -67,        2, (not associated) ,
BA:9E:AB:25:EC:F2, 2022-03-10 10:14:09, 2022-03-10 10:14:10, -67,        4, (not associated) ,
7E:6D:87:11:A1:71, 2022-03-10 10:14:07, 2022-03-10 10:14:07, -65,        4, (not associated) ,
DA:A1:19:6F:2B:32, 2022-03-10 10:14:11, 2022-03-10 10:14:11, -61,        1, (not associated) ,
7E:B1:2F:9D:78:53, 2022-03-10 10:14:19, 2022-03-10 10:14:19, -69,        2, (not associated) ,
9A:8F:1A:ED:DC:91, 2022-03-10 10:14:21, 2022-03-10 10:14:21, -59,        2, (not associated) ,
06:DC:B8:83:47:ED, 2022-03-10 10:14:23, 2022-03-10 10:14:23, -55,       15, (not associated) ,UERJTebz6msGUm9oaXQh,UERJTReai0EGUm9oaXQh,AndroidShare_6572
4A:20:CC:0D:78:CF, 2022-03-10 10:14:20, 2022-03-10 10:14:20, -35,        1, (not associated) ,
02:5A:84:0A:24:1F, 2022-03-10 10:14:23, 2022-03-10 10:14:23, -27,        4, (not associated) ,
F2:EF:6A:60:E4:4F, 2022-03-10 10:14:34, 2022-03-10 10:14:34, -79,        1, (not associated) ,
3A:E8:D0:B3:CB:DC, 2022-03-10 10:14:34, 2022-03-10 10:14:35, -71,        3, (not associated) ,
DE:F8:BA:90:3F:49, 2022-03-10 10:14:34, 2022-03-10 10:14:35, -61,        7, (not associated) ,
DA:A1:19:02:B9:D8, 2022-03-10 10:14:31, 2022-03-10 10:14:31, -55,       14, (not associated) ,KLE_Tech
DA:A1:19:F8:3D:5E, 2022-03-10 10:14:34, 2022-03-10 10:14:34, -41,        1, (not associated) ,
AA:41:B5:CB:A5:D1, 2022-03-10 10:14:43, 2022-03-10 10:14:43, -25,        4, (not associated) ,
1E:6A:EB:28:07:D1, 2022-03-10 10:14:42, 2022-03-10 10:14:42, -23,        2, (not associated) ,
AE:E3:CA:3B:01:B2, 2022-03-10 10:14:57, 2022-03-10 10:14:57, -73,        1, (not associated) ,
28:CD:C4:F6:28:11, 2022-03-10 10:14:40, 2022-03-10 10:14:54, -65,       19, 9C:1C:12:CC:1F:C0,KLE_Tech
DA:78:2F:F9:DB:36, 2022-03-10 10:14:59, 2022-03-10 10:14:59, -55,        3, (not associated) ,
5A:7B:AF:20:BC:65, 2022-03-10 10:14:57, 2022-03-10 10:14:57, -49,        3, (not associated) ,
8E:BD:0F:A3:F6:72, 2022-03-10 10:14:57, 2022-03-10 10:14:57, -45,        2, (not associated) ,
AE:41:D2:20:6D:5D, 2022-03-10 10:14:54, 2022-03-10 10:14:55, -37,        9, (not associated) ,
C8:E2:65:6A:C5:98, 2022-03-10 10:14:54, 2022-03-10 10:14:54,  -1,        2, 88:DC:96:3B:43:1B,
0E:CC:4C:0C:28:E8, 2022-03-10 10:15:07, 2022-03-10 10:15:07, -67,        1, (not associated) ,
1E:C9:FA:50:1F:A2, 2022-03-10 10:15:07, 2022-03-10 10:15:08, -43,       11, (not associated) ,
0A:A5:F6:C3:B8:03, 2022-03-10 10:15:09, 2022-03-10 10:15:09, -37,        3, (not associated) ,
42:C4:DD:0F:04:58, 2022-03-10 10:15:11, 2022-03-10 10:15:11, -27,        3, (not associated) ,
3C:20:F6:7B:6E:99, 2022-03-10 10:14:53, 2022-03-10 10:15:23, -73,        3, (not associated) ,KLE_Tech
98:9C:57:A3:3D:3C, 2022-03-10 10:13:42, 2022-03-10 10:15:20, -69,      129, 9C:1C:12:CC:39:00,
CA:47:8F:5C:52:BE, 2022-03-10 10:15:18, 2022-03-10 10:15:18, -39,        1, (not associated) ,
F8:89:D2:8D:2C:47, 2022-03-10 10:14:19, 2022-03-10 10:15:35, -71,        2, (not associated) ,
D2:AD:DB:16:18:D5, 2022-03-10 10:15:32, 2022-03-10 10:15:32, -69,        1, (not associated) ,
8A:96:11:93:3B:BC, 2022-03-10 10:15:35, 2022-03-10 10:15:35, -67,        2, (not associated) ,
C2:9B:43:8D:FF:93, 2022-03-10 10:15:31, 2022-03-10 10:15:32, -63,       12, (not associated) ,
52:B6:D0:CF:F8:EE, 2022-03-10 10:15:47, 2022-03-10 10:15:47, -67,        3, (not associated) ,
F4:F5:24:DB:9B:2B, 2022-03-10 10:15:17, 2022-03-10 10:15:43, -65,       37, (not associated) ,
00:0C:E7:AA:A4:22, 2022-03-10 10:15:45, 2022-03-10 10:15:45, -45,        2, (not associated) ,
3E:B0:B4:90:67:E3, 2022-03-10 10:15:56, 2022-03-10 10:15:56, -69,        3, (not associated) ,
4A:28:BA:8D:29:F6, 2022-03-10 10:15:57, 2022-03-10 10:15:57, -45,        5, (not associated) ,
08:73:92:C3:A2:D4, 2022-03-10 10:16:11, 2022-03-10 10:16:11, -83,        1, (not associated) ,
1E:5D:98:A9:23:09, 2022-03-10 10:16:06, 2022-03-10 10:16:06, -69,        3, (not associated) ,
46:04:82:E9:CB:B2, 2022-03-10 10:16:10, 2022-03-10 10:16:11, -69,       18, (not associated) ,
BE:87:71:B1:18:AE, 2022-03-10 10:16:06, 2022-03-10 10:16:07, -55,       10, (not associated) ,
E6:E8:74:AD:6F:E9, 2022-03-10 10:16:22, 2022-03-10 10:16:22, -61,        1, (not associated) ,
1A:EF:04:9E:F2:A4, 2022-03-10 10:16:23, 2022-03-10 10:16:23, -55,        1, (not associated) ,
FE:19:6D:D2:66:86, 2022-03-10 10:15:18, 2022-03-10 10:16:33, -73,        3, 9C:1C:12:CC:39:00,KLE_Tech
92:F3:B3:89:63:98, 2022-03-10 10:16:30, 2022-03-10 10:16:30, -21,        6, (not associated) ,
00:0C:E7:03:26:83, 2022-03-10 10:16:45, 2022-03-10 10:16:45, -69,        7, (not associated) ,giraddi,Giraddi
F2:92:6B:06:C0:5F, 2022-03-10 10:16:43, 2022-03-10 10:16:43, -67,        1, (not associated) ,
DA:24:07:C5:6A:50, 2022-03-10 10:16:44, 2022-03-10 10:16:44, -67,        2, (not associated) ,
A6:B4:19:8C:F9:F7, 2022-03-10 10:16:45, 2022-03-10 10:16:45, -65,        4, (not associated) ,
A2:3A:41:3B:49:D3, 2022-03-10 10:16:42, 2022-03-10 10:16:43, -63,        4, (not associated) ,
6A:2E:FB:63:62:97, 2022-03-10 10:16:44, 2022-03-10 10:16:44, -49,        9, (not associated) ,
22:9D:D4:07:8B:14, 2022-03-10 10:16:43, 2022-03-10 10:16:43, -47,        8, (not associated) ,
46:2B:97:CE:B6:58, 2022-03-10 10:16:46, 2022-03-10 10:16:47, -41,        4, (not associated) ,
5E:D9:2B:52:25:79, 2022-03-10 10:16:54, 2022-03-10 10:16:54, -55,        7, (not associated) ,
D2:74:B7:A0:82:8C, 2022-03-10 10:16:56, 2022-03-10 10:16:56, -47,        3, (not associated) ,
92:49:D4:CE:6D:01, 2022-03-10 10:16:56, 2022-03-10 10:16:56, -41,        1, (not associated) ,
6E:1E:81:B2:0F:05, 2022-03-10 10:16:58, 2022-03-10 10:16:58, -41,        4, (not associated) ,
02:E8:2F:7B:1F:8E, 2022-03-10 10:16:58, 2022-03-10 10:16:58, -35,        2, (not associated) ,
92:A0:EC:DD:F0:35, 2022-03-10 10:17:11, 2022-03-10 10:17:11, -63,        1, (not associated) ,
BE:B6:F4:2D:09:CB, 2022-03-10 10:17:06, 2022-03-10 10:17:06, -61,        4, (not associated) ,
0A:43:E3:1E:73:00, 2022-03-10 10:17:21, 2022-03-10 10:17:22, -77,        8, (not associated) ,
5E:88:FD:EC:48:DC, 2022-03-10 10:17:19, 2022-03-10 10:17:19, -67,        3, (not associated) ,
1C:1B:B5:9B:C4:F9, 2022-03-10 10:17:29, 2022-03-10 10:17:30, -90,        2, EC:AD:E0:76:19:A0,
A6:93:50:AC:EE:49, 2022-03-10 10:17:32, 2022-03-10 10:17:32, -69,        3, (not associated) ,
56:46:31:57:21:24, 2022-03-10 10:17:30, 2022-03-10 10:17:30, -61,        2, (not associated) ,
42:6E:DA:2F:00:AE, 2022-03-10 10:17:42, 2022-03-10 10:17:42, -67,        1, (not associated) ,
7E:82:9A:9D:0E:4C, 2022-03-10 10:17:45, 2022-03-10 10:17:45, -67,        2, (not associated) ,
80:2B:F9:65:AF:45, 2022-03-10 10:14:54, 2022-03-10 10:17:42, -39,        8, 88:DC:96:3B:43:1B,
DA:A1:19:BB:09:B2, 2022-03-10 10:17:55, 2022-03-10 10:17:55, -73,        1, (not associated) ,
F8:89:D2:B0:F6:6F, 2022-03-10 10:17:57, 2022-03-10 10:17:57, -71,        1, (not associated) ,
46:F0:76:60:99:AC, 2022-03-10 10:17:59, 2022-03-10 10:17:59, -67,        1, (not associated) ,
D2:74:E2:52:91:1A, 2022-03-10 10:17:56, 2022-03-10 10:17:56, -47,       12, (not associated) ,
00:EC:0A:95:EE:17, 2022-03-10 10:17:59, 2022-03-10 10:17:59,  -1,        2, 9C:1C:12:CC:39:00,
EE:8C:B7:8D:55:91, 2022-03-10 10:18:07, 2022-03-10 10:18:07, -67,        1, (not associated) ,
36:C9:AD:EB:4C:3A, 2022-03-10 10:18:10, 2022-03-10 10:18:10, -65,        1, (not associated) ,
56:40:E1:CC:AC:0F, 2022-03-10 10:18:19, 2022-03-10 10:18:19, -59,        5, (not associated) ,
94:14:7A:7E:3B:A8, 2022-03-10 10:18:33, 2022-03-10 10:18:33, -63,        1, (not associated) ,KLE_Tech
76:83:4C:29:7C:7F, 2022-03-10 10:18:31, 2022-03-10 10:18:31, -59,        3, (not associated) ,
DA:A1:19:9F:5B:65, 2022-03-10 10:18:56, 2022-03-10 10:18:56, -69,        1, (not associated) ,
